code,f0_
A23,2953860
F15,702423
F61,17
B03,298499
A47,2890235
D12,1
A62,309681
C06,82856
F26,262032
Y04,178652
B02,318771
C22,1656011
E63,1
E08,1
G90,2
Y20,4
B27,351341
F06,7
F51,1
E20,1
B14,3
H06,6
A63,2882834
F20,1
G07,1246248
C14,59619
B85,1
E03,359834
F41,460716
A08,1
B59,1
C02,1732827
D02,130458
A44,243081
H05,3918813
G09,2748626
C07,15765021
A01,3429845
A32,2
A22,133194
B31,344133
Y05,1
F95,1
B06,67898
A10,1
C17,1
F28,910787
A16,19
A42,94877
C12,5617977
F12,5
C97,1
A91,1
B20,3
G65,1
C80,3
H01,32950374
G03,3630331
G08,1058694
C05,259365
H61,1
G04,327451
C13,52807
C09,4029919
A41,453819
C01,2400658
G20,2
B21,1200030
B04,177483
G60,39
G70,1
B32,4678442
F24,1728782
D06,1511881
Y10,13989442
E02,855941
A71,2
G16,312335
C70,6
F05,890545
G01,11339824
C40,77898
F03,500690
B12,3
H09,1
B25,961408
E21,1573149
C25,633957
B70,1
D09,1
B44,195012
B22,986573
B24,641714
B42,421473
B64,908284
F27,423968
B66,707495
B07,227849
F60,1
A46,277723
F04,1743537
C21,871846
A74,1
E04,2194687
A64,4
H10,8
A60,2
B08,322097
G10,986596
C23,1733228
H04,28671401
B26,566882
B82,517891
D07,180077
B62,1596117
D03,280800
B43,177299
E06,688162
F22,150086
G12,6417
B23,3018542
G96,3
B01,10044427
B41,2387753
B60,9587774
G05,1753734
A14,1
D21,881340
F01,2666640
A81,1
B05,1377379
F14,2
E05,1801007
F25,1881434
A43,565200
F21,1866151
C08,9318880
G21,411491
B63,769739
A05,1
C11,1441989
A21,253684
D04,587454
B55,1
B09,96279
A61,35670296
G02,5196781
B16,1
E01,599134
C04,2796006
C30,331002
A65,1
A04,4
B47,1
B28,370440
A12,2
C90,1
B36,1
D05,184252
B50,1
F10,2
Y02,9141303
F13,1
G06,16276144
A45,720992
F02,4095551
B33,167057
D10,191401
B10,14
D01,544941
E12,4
A06,2
B68,33576
H02,4232338
C03,1354721
F17,964338
E28,1
Y01,17
H20,4
H30,1
B65,6476565
A07,1
E64,1
B29,7901939
F23,1186772
F16,7806820
C10,5056936
H94,1
F42,266174
H03,2930966
G11,4385089
B67,342894
B61,494875
A24,281101
B76,1
H40,5
B30,220757
B81,238087
